employee_id,name,created_at,business_id,updated_at,closed,closed_at,id
c6981ace-81d9-4ae0-b8f7-80d4d28caf20,Casey Dondel,2018-06-01T17:05:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T17:55:00.000Z,39c130ae-4898-410c-8260-11a085065342
b63d9159-b2f9-4fd0-bb53-5dfeaee89e85,Andy Bolden,2018-06-01T17:12:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T17:31:00.000Z,8a704e79-dae5-4b57-8338-8af506adac5f
5558ab4a-d395-4728-85c4-3a930f251a6a,Sasha Yii,2018-06-01T17:06:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T17:51:00.000Z,fd01b59f-a455-4463-b83c-aae96ce9d864
c6981ace-81d9-4ae0-b8f7-80d4d28caf20,Casey Dondel,2018-06-01T17:00:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T17:55:00.000Z,3c62574a-1640-410b-ba39-fcb15cd5d8a2
b63d9159-b2f9-4fd0-bb53-5dfeaee89e85,Andy Bolden,2018-06-01T17:10:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T17:52:00.000Z,34ad8144-6f11-4ddf-92d2-ac44f66f49c6
5558ab4a-d395-4728-85c4-3a930f251a6a,Sasha Yii,2018-06-01T17:06:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T17:47:00.000Z,83e22930-899f-4b32-be9c-f30537a82333
c6981ace-81d9-4ae0-b8f7-80d4d28caf20,Casey Dondel,2018-06-01T17:01:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T17:48:00.000Z,bc23e6a4-ad27-4bd8-abc0-1729dc7ed9b8
5558ab4a-d395-4728-85c4-3a930f251a6a,Sasha Yii,2018-06-01T18:04:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T18:46:00.000Z,590585a5-62ce-4c1e-8440-dd859c2b7597
8d70a203-18ff-47c3-afed-fafbf5048b49,Kylo Ren,2018-06-01T18:06:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T18:36:00.000Z,6524be7d-e192-4048-b400-ff866279301a
b63d9159-b2f9-4fd0-bb53-5dfeaee89e85,Andy Bolden,2018-06-01T18:14:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T18:43:00.000Z,bd5e2f5f-f489-4395-9070-47124d6a3a75
c6981ace-81d9-4ae0-b8f7-80d4d28caf20,Casey Dondel,2018-06-01T18:00:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T18:46:00.000Z,2d3b1b99-475d-41df-a316-75c97665c722
5558ab4a-d395-4728-85c4-3a930f251a6a,Sasha Yii,2018-06-01T18:12:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T18:59:00.000Z,5bd7f6cd-1f9c-488a-b8fc-f09442ee2278
8d70a203-18ff-47c3-afed-fafbf5048b49,Kylo Ren,2018-06-01T18:01:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T18:34:00.000Z,dc600fc9-6e39-4e0a-b0cd-8b59dbcae1e3
b63d9159-b2f9-4fd0-bb53-5dfeaee89e85,Andy Bolden,2018-06-01T18:08:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T18:34:00.000Z,ca7f0336-9f6b-47ec-9a09-a3e88144db1b
c6981ace-81d9-4ae0-b8f7-80d4d28caf20,Casey Dondel,2018-06-01T18:01:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T18:36:00.000Z,15f86fe0-55a5-49f3-84c7-529ed3e0e0f8
5558ab4a-d395-4728-85c4-3a930f251a6a,Sasha Yii,2018-06-01T18:05:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T18:58:00.000Z,edafd74a-3fc5-4a48-affc-bf901d833ce2
8d70a203-18ff-47c3-afed-fafbf5048b49,Kylo Ren,2018-06-01T18:13:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T18:43:00.000Z,78b517d6-f954-468e-abd8-24cbf8cd594e
8d70a203-18ff-47c3-afed-fafbf5048b49,Kylo Ren,2018-06-01T19:11:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T19:43:00.000Z,13fc4482-72d9-4094-b83c-539f2a0872c6
5558ab4a-d395-4728-85c4-3a930f251a6a,Sasha Yii,2018-06-01T19:10:00.000Z,b2aeb27b-c85c-4ad8-83d4-d9511063d418,2018-08-01T17:40:22.152Z,True,2018-06-01T19:43:00.000Z,53cfa82c-a7f2-4529-8b9f-87e8e2affdc5
